,f1_mean,f1_std,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,precision_mean,precision_std,recall_mean,recall_std,accuracy_mean,accuracy_std,fit_time_s
Dummy (most frequent),0.0,0.0,0.5,0.0,0.3708,0.0,0.0,0.0,0.0,0.0,0.6292,0.0,1.6253
LogisticRegression (Set A),0.7456,0.0018,0.9049,0.0011,0.8641,0.0019,0.8079,0.002,0.6922,0.0029,0.8249,0.0011,5.2521
